PRIMARY VOTES	RUNOFF VOTES	GENERAL VOTES 	
		9	
40115		351969	
			
14569		179240	
2322			
1242			
18133			
8600		174944	
8600			
		966	
		2	
		1	
26733		355153	
			
		336	
		327576	
			
20840		191976	
17554			
16035			
54429			
20471		160520	
20471			
		1167	
74900		353663	
			
287049		2813383	
			
183766		1854595	
6837			
6632			
5155			
202390			
63383		867974	
43852			
16759			
123994			
3066		73539	
2071			
5137			
		30531	
		13986	
		2568	
		4	
		1	
		9	
331521		2843207	
			
			
43518		186760	
22067			
10394			
75979			
11120		114076	
11120			
87099		309177	
			
49083		214978	
7040			
56123			
26041		99160	
26041			
		4605	
82164		320244	
			
78735		234717	
7027			
85762			
15291			
15291			
101053		293322	
			
60897		182998	
15391			
6100			
82388			
8988			
1743			
10731			
93119		285432	
			
363435		1208175	
			
254936		709626	
18857			
12106			
285899			
49157		503467	
21131			
16300			
86588			
372487		1241568	
			
			
57791		267927	
30943			
2570			
91304			
9737		60832	
7085			
16822			
246		11824	
246			
108372		340583	
			
53583		236971	
18644			
6041			
3185			
81453			
7894		146272	
7848			
7541			
4532			
27815			
404		9193	
404			
75		2012	
75			
109747		394448	
			
79661		214843	
79661			
22478		111189	
22478			
367		12353	
367			
102506		338385	
			
71615		192237	
13645			
85260			
24631		113120	
24631			
232		10407	
168			
400			
118		2959	
118			
110409		318723	
			
43712		200290	
43712			
24814		122149	
10734			
5067			
1542			
42157			
335		8497	
335			
		6	
86204		330942	
			
59388		216906	
9945			
4598			
73931			
10242		108503	
8620			
7483			
5118			
31463			
252		8279	
252			
105646		333688	
			
62917		203565	
22860			
19666			
105443			
14446		98498	
14446			
303		16668	
303			
		9	
120192		318740	
			
61975		216083	
30429			
92404			
27839		73755	
27839			
164		10553	
164			
120407		300391	
			
863483		2675900	
			
289481		1494125	
289481			
217468		1066159	
180821			
176189			
9791			
7412			
6097			
3200			
2282			
603260			
2470		165468	
2470			
		15	
		9	
		6	
		5	
		4	
		2	
895211		2725793	
			
			
82843		255468	
21012			
12420			
116275			
25077		204939	
14836			
12618			
11366			
9382			
4959			
2586			
80824			
		19333	
197099		479740	
			
197099		479740	
			
88720		236123	
88720			
105632		218051	
33079			
138711			
		31892	
227431		486066	
			
			
53886		174889	
4840			
3290			
62016			
1772			
415			
221			
2408			
14332		81206	
8428			
22760			
472			
300			
772			
87956		256095	
			
27414		133964	
10415			
5021			
1803			
1004			
45657			
584			
385			
338			
82			
47			
1436			
17686		129767	
10793			
28479			
268			
216			
484			
76056		263731	
			
62176		187423	
14089			
76265			
469			
208			
677			
17354		65266	
17354			
146			
146			
94442		252689	
			
258454		772515	
			
77594		455593	
68796			
35984			
5251			
1526			
1236			
190387			
2347			
1271			
743			
162			
75			
58			
4656			
65214		332979	
9721			
2135			
2045			
1465			
80580			
1372			
165			
42			
35			
31			
1645			
277268		788572	
			
			
4786		56521	
1800			
1534			
1163			
643			
9926			
		4645	
		4145	
9926		179278	
			
8865		102019	
7405			
5604			
21874			
		11166	
		6051	
21874		281449	
			
20798		137244	
2298			
23096			
7966		116823	
2659			
2099			
1346			
989			
736			
15795			
		12856	
		5600	
38891		272523	
			
7605		101261	
6674			
5069			
2728			
666			
607			
370			
252			
165			
24136			
		9389	
		9341	
24136		240492	
			
94827		973742	
			
88958		457656	
5356			
3358			
2629			
2295			
512			
103108			
62082		446080	
4210			
3998			
3637			
2491			
1714			
78132			
		48792	
		45277	
181240		997805	
			
			
38623		171650	
204			
142			
10			
2			
38981			
46979		158659	
6923			
1639			
130			
74			
55745			
		14521	
		192	
			
			
94726		345022	
			
40627		169275	
170			
157			
4			
3			
3			
40964			
39605		152977	
4263			
2129			
1310			
1127			
193			
123			
48750			
		14936	
		206	
			
89714		337394	
			
184440		682416	
			
			
21318		210470	
2797			
24115			
11189		92459	
11189			
		4413	
		1177	
35304		308519	
			
20551		166679	
2914			
23465			
9810		116463	
3971			
1327			
15108			
		2699	
		1329	
		1010	
		892	
38573		289072	
			
22013		174257	
22013			
15176		145509	
15176			
		1956	
		1104	
		770	
		530	
		280	
37189		324406	
			
21520		195146	
4209			
25729			
12110		107992	
12110			
		3111	
37839		306249	
			
24709		167503	
2107			
1511			
28327			
10208		130102	
6448			
1925			
18581			
		6772	
46908		304377	
			
16593		151782	
16593			
7692		84360	
3277			
10969			
		1392	
		868	
		830	
		406	
27562		239638	
			
23432		175704	
15253			
38685			
11506		123090	
11506			
		4520	
		4081	
50191		307395	
			
30840		130857	
3808			
34648			
2981		31767	
2981			
		1841	
		1710	
		1625	
37629		167800	
			
31435		162834	
19947			
51382			
5364		55094	
2623			
1278			
9265			
		1138	
		1082	
60647		220148	
			
36576		201435	
11939			
10207			
1356			
779			
501			
61358			
2095		24271	
2095			
		3127	
		1227	
63453		230060	
			
34358		166413	
11935			
2318			
		4500	
48611			
48611		170913	
			
30831		182239	
30831			
13387		123935	
13387			
		3725	
44218		309899	
			
24339		189938	
24339			
9361		80907	
9361			
		2261	
		1285	
33700		274391	
			
561824		3452867	
			
272201		1985783	
272201			
163817		1329405	
19238			
17161			
12823			
213039			
		16803	
		15799	
		9377	
		3830	
		3595	
		3544	
		2256	
		2201	
		2075	
485240		3374668	
			
			
19111		162924	
16702			
11895			
47708			
26198		112473	
26198			
		459	
73906		275856	
			
29911		113180	
29911			
24175		92162	
24175			
		173	
54086		205515	
			
53908		167103	
53908			
13055		97616	
11340			
24395			
78303		264719	
			
206295		746090	
			
83432		395717	
58128			
141560			
63631		351260	
27214			
90845			
		28199	
		617	
232405		775793	
			
			
			
			
7394		107226	
1166			
8560			
		176	
8560		278659	
			
			
			
		89	
		242943	
			
			
			
		1644	
		367	
		77	
		273171	
			
			
			
6357		84982	
5175			
11532			
		15603	
253			
194			
447			
		49	
11979		265300	
			
9920		167836	
1972			
1694			
1327			
14913			
		85	
14913		187141	
			
			
14825		107507	
7089			
4606			
1462			
27982			
			
		114	
27982		164374	
			
			
17208		134802	
10408			
1351			
745			
29712			
		210	
29712		152111	
			
			
28271		178688	
11130			
39401			
			
		77	
39401		204207	
			
			
15069		178168	
1993			
17062			
			
		135	
17062		213431	
			
			
			
		193	
		205349	
			
			
			
		148	
		197635	
			
			
			
		215	
		241426	
			
			
19187		170690	
18101			
1018			
4266			
598			
43170			
		5548	
		202	
43170		192913	
			
			
			
		104	
		145190	
			
			
			
		27	
		157115	
			
			
12856		173886	
1864			
14720			
		82	
14720		236553	
			
			
4225		91899	
2307			
6532			
		118	
6532		266205	
			
			
7493		132456	
5036			
1857			
780			
356			
15522			
			
		169	
15522		277063	
			
			
			
6653		120959	
4657			
11310			
		139	
11310		284679	
			
			
			
		135	
		297314	
			
			
			
9331		104368	
3847			
13178			
		105	
13178		252556	
			
			
10627		145042	
4314			
